label,train_count,test_f1
6,4704,0.7260034904013961
P1-1,1421,0.6030150753768844
5,1368,0.6911764705882353
3,1349,0.7535410764872521
13,1238,0.25
8,710,0.14965986394557823
2,505,0.6976744186046512
10,291,0.11764705882352941
14,141,0.0
11,110,0.05263157894736842
34,75,0.0
